source,filename,file_size_bytes,read_success,error,dimensions,time_count,first_time,last_time,duplicate_time_count,lat_min,lat_max,lat_resolutions,lon_min,lon_max,lon_resolutions,forecast_hours,data_variables
CFSR,pgbh06.gdas.20000721-20000725.grb2.nc.gz,9391,True,,time=20;lat=11;lon=11,20,2000-07-21 06:00:00,2000-07-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000726-20000731.grb2.nc.gz,11453,True,,time=24;lat=11;lon=11,24,2000-07-26 06:00:00,2000-08-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000801-20000805.grb2.nc.gz,9709,True,,time=20;lat=11;lon=11,20,2000-08-01 06:00:00,2000-08-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000806-20000810.grb2.nc.gz,9733,True,,time=20;lat=11;lon=11,20,2000-08-06 06:00:00,2000-08-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000811-20000815.grb2.nc.gz,9845,True,,time=20;lat=11;lon=11,20,2000-08-11 06:00:00,2000-08-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000816-20000820.grb2.nc.gz,9784,True,,time=20;lat=11;lon=11,20,2000-08-16 06:00:00,2000-08-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000821-20000825.grb2.nc.gz,9810,True,,time=20;lat=11;lon=11,20,2000-08-21 06:00:00,2000-08-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000826-20000831.grb2.nc.gz,11625,True,,time=24;lat=11;lon=11,24,2000-08-26 06:00:00,2000-09-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000901-20000905.grb2.nc.gz,9830,True,,time=20;lat=11;lon=11,20,2000-09-01 06:00:00,2000-09-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000906-20000910.grb2.nc.gz,9908,True,,time=20;lat=11;lon=11,20,2000-09-06 06:00:00,2000-09-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000911-20000915.grb2.nc.gz,10031,True,,time=20;lat=11;lon=11,20,2000-09-11 06:00:00,2000-09-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000916-20000920.grb2.nc.gz,9863,True,,time=20;lat=11;lon=11,20,2000-09-16 06:00:00,2000-09-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000921-20000925.grb2.nc.gz,9905,True,,time=20;lat=11;lon=11,20,2000-09-21 06:00:00,2000-09-26,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20000926-20000930.grb2.nc.gz,9842,True,,time=20;lat=11;lon=11,20,2000-09-26 06:00:00,2000-10-01,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001001-20001005.grb2.nc.gz,9742,True,,time=20;lat=11;lon=11,20,2000-10-01 06:00:00,2000-10-06,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001006-20001010.grb2.nc.gz,9805,True,,time=20;lat=11;lon=11,20,2000-10-06 06:00:00,2000-10-11,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001011-20001015.grb2.nc.gz,9861,True,,time=20;lat=11;lon=11,20,2000-10-11 06:00:00,2000-10-16,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
CFSR,pgbh06.gdas.20001016-20001020.grb2.nc.gz,9957,True,,time=20;lat=11;lon=11,20,2000-10-16 06:00:00,2000-10-21,0,-5.0,0.0,0.5,-76.0,-71.0,0.5,6.0,valid_date_time;ref_date_time;forecast_hour;U_GRD_L103;V_GRD_L103
