source,filename_pattern,duplicate_rows,unique_duplicate_timestamps,unique_files,first_duplicate_timestamp,last_duplicate_timestamp,median_file_size_bytes
CFSR,pgbh06.gdas.20101106-20101110.grb2.nc.gz,20,20,1,2010-11-06 06:00:00,2010-11-11,4542.0
CFSR,pgbh06.gdas.20101111-20101115.grb2.nc.gz,20,20,1,2010-11-11 06:00:00,2010-11-16,4544.0
CFSR,pgbh06.gdas.20101116-20101120.grb2.nc.gz,20,20,1,2010-11-16 06:00:00,2010-11-21,4559.0
CFSR,pgbh06.gdas.20101121-20101125.grb2.nc.gz,20,20,1,2010-11-21 06:00:00,2010-11-26,4621.0
CFSR,pgbh06.gdas.20101126-20101130.grb2.nc.gz,20,20,1,2010-11-26 06:00:00,2010-12-01,4539.0
CFSR,pgbh06.gdas.20101201-20101205.grb2.nc.gz,20,20,1,2010-12-01 06:00:00,2010-12-06,4520.0
CFSR,pgbh06.gdas.20101206-20101210.grb2.nc.gz,20,20,1,2010-12-06 06:00:00,2010-12-11,4609.0
CFSR,pgbh06.gdas.20101211-20101215.grb2.nc.gz,20,20,1,2010-12-11 06:00:00,2010-12-16,4619.0
CFSR,pgbh06.gdas.20101216-20101220.grb2.nc.gz,20,20,1,2010-12-16 06:00:00,2010-12-21,4554.0
CFSR,pgbh06.gdas.20101221-20101225.grb2.nc.gz,20,20,1,2010-12-21 06:00:00,2010-12-26,4554.0
CFSR,ipvh06.gdas.20100226-20100228.grb2.nc.gz,12,12,1,2010-02-26 06:00:00,2010-03-01,4221.0
CFSR,pgbh06.gdas.20100226-20100228.grb2.nc.gz,12,12,1,2010-02-26 06:00:00,2010-03-01,3073.0
CFSv2,cdas1.<DATE>.ipvgrbh.grb2.nc.gz,18628,18628,4657,2011-04-01 06:00:00,2023-12-31,1927.0
CFSv2,cdas1.<DATE>.pgrbh.grb2.nc.gz,18628,18628,4657,2011-04-01 06:00:00,2023-12-31,1518.0
CFSv2,ipvh06.gdas.20110126-20110131.grb2.nc.gz,24,24,1,2011-01-26 06:00:00,2011-02-01,7752.0
CFSv2,ipvh06.gdas.20110326-20110331.grb2.nc.gz,24,24,1,2011-03-26 06:00:00,2011-04-01,7722.0
