week_start_date,calendar_year,calendar_month,iso_year,iso_week,country,adm1_name,adm2_name,case_definition,dengue_cases
2002-12-01,2002,12,2002,48,Peru,Loreto,Maynas,Probable and confirmed,153
2002-12-08,2002,12,2002,49,Peru,Loreto,Maynas,Probable and confirmed,134
2002-12-15,2002,12,2002,50,Peru,Loreto,Maynas,Probable and confirmed,79
2002-12-22,2002,12,2002,51,Peru,Loreto,Maynas,Probable and confirmed,30
2002-12-29,2002,12,2002,52,Peru,Loreto,Maynas,Probable and confirmed,39
2003-01-05,2003,1,2003,1,Peru,Loreto,Maynas,Probable and confirmed,38
2003-01-12,2003,1,2003,2,Peru,Loreto,Maynas,Probable and confirmed,19
2003-01-19,2003,1,2003,3,Peru,Loreto,Maynas,Probable and confirmed,32
2003-01-26,2003,1,2003,4,Peru,Loreto,Maynas,Probable and confirmed,26
2003-02-02,2003,2,2003,5,Peru,Loreto,Maynas,Probable and confirmed,22
2003-02-09,2003,2,2003,6,Peru,Loreto,Maynas,Probable and confirmed,13
2003-02-16,2003,2,2003,7,Peru,Loreto,Maynas,Probable and confirmed,17
2003-02-23,2003,2,2003,8,Peru,Loreto,Maynas,Probable and confirmed,17
2003-03-02,2003,3,2003,9,Peru,Loreto,Maynas,Probable and confirmed,7
2003-03-09,2003,3,2003,10,Peru,Loreto,Maynas,Probable and confirmed,20
2003-03-16,2003,3,2003,11,Peru,Loreto,Maynas,Probable and confirmed,16
2003-03-23,2003,3,2003,12,Peru,Loreto,Maynas,Probable and confirmed,11
2003-03-30,2003,3,2003,13,Peru,Loreto,Maynas,Probable and confirmed,17
2003-04-06,2003,4,2003,14,Peru,Loreto,Maynas,Probable and confirmed,20
2003-04-13,2003,4,2003,15,Peru,Loreto,Maynas,Probable and confirmed,7
2003-04-20,2003,4,2003,16,Peru,Loreto,Maynas,Probable and confirmed,10
2003-04-27,2003,4,2003,17,Peru,Loreto,Maynas,Probable and confirmed,3
2003-05-04,2003,5,2003,18,Peru,Loreto,Maynas,Probable and confirmed,6
2003-05-11,2003,5,2003,19,Peru,Loreto,Maynas,Probable and confirmed,9
2003-05-18,2003,5,2003,20,Peru,Loreto,Maynas,Probable and confirmed,5
2003-05-25,2003,5,2003,21,Peru,Loreto,Maynas,Probable and confirmed,9
