week_start_date,week_end_date,surface_pressure_hpa_mean,surface_pressure_hpa_min,surface_pressure_hpa_max,observations_6hourly,complete_week
2017-01-29,2017-02-04,994.8688186813187,992.4307692307692,997.5269230769231,28,True
2017-02-05,2017-02-11,993.859478021978,991.1153846153846,995.8461538461539,28,True
2017-02-12,2017-02-18,993.3997252747253,988.8769230769232,997.7230769230769,28,True
2017-02-19,2017-02-25,993.473489010989,991.3615384615384,995.9076923076923,28,True
2017-02-26,2017-03-04,993.1285714285714,989.6923076923076,995.6346153846154,28,True
2017-03-05,2017-03-11,993.1504120879121,991.4,995.0423076923076,28,True
2017-03-12,2017-03-18,994.0,991.3115384615385,995.3884615384616,28,True
2017-03-19,2017-03-25,994.9605769230769,992.446153846154,997.1846153846153,28,True
2017-03-26,2017-04-01,994.0574175824175,992.1307692307693,996.9423076923076,28,True
2017-04-02,2017-04-08,994.4079670329671,991.946153846154,996.8384615384616,28,True
2017-04-09,2017-04-15,994.1945054945055,991.5807692307692,996.2192307692308,28,True
2017-04-16,2017-04-22,994.4741758241759,992.2153846153847,996.2846153846153,28,True
2017-04-23,2017-04-29,994.729532967033,992.1307692307693,998.5038461538461,28,True
2017-04-30,2017-05-06,995.7607142857142,993.2846153846153,998.8307692307692,28,True
2017-05-07,2017-05-13,994.6013736263736,991.9961538461539,997.0423076923076,28,True
2017-05-14,2017-05-20,994.2193681318682,991.1038461538461,996.4730769230769,28,True
2017-05-21,2017-05-27,997.0892857142857,992.9115384615384,999.6692307692308,28,True
2017-05-28,2017-06-03,997.8479395604396,995.6423076923077,1000.2846153846153,28,True
2017-06-04,2017-06-10,995.882967032967,992.6538461538461,998.4807692307692,28,True
2017-06-11,2017-06-17,996.8131868131868,994.2038461538461,998.9038461538461,28,True
2017-06-18,2017-06-24,995.9957417582418,992.4076923076923,998.5384615384615,28,True
2017-06-25,2017-07-01,997.1201923076924,994.3846153846154,999.9884615384616,28,True
2017-07-02,2017-07-08,999.6340659340659,998.0461538461539,1001.2653846153847,28,True
2017-07-09,2017-07-15,998.2256868131868,995.8269230769231,1000.3384615384616,28,True
2017-07-16,2017-07-22,998.2576923076923,993.0461538461539,1001.9307692307692,28,True
2017-07-23,2017-07-29,998.2461538461539,995.5307692307692,1000.7423076923077,28,True
2017-07-30,2017-08-05,997.9995879120879,993.9384615384615,1000.303846153846,28,True
2017-08-06,2017-08-12,996.4560439560439,993.0961538461539,998.7615384615384,28,True
2017-08-13,2017-08-19,994.3416208791208,992.053846153846,996.7038461538461,28,True
2017-08-20,2017-08-26,995.4565934065934,991.0692307692308,999.1115384615384,28,True
2017-08-27,2017-09-02,996.4917582417582,993.7846153846153,999.3769230769232,28,True
2017-09-03,2017-09-09,995.2130494505494,992.1653846153847,999.1115384615384,28,True
2017-09-10,2017-09-16,995.4603021978021,992.6153846153846,997.5,28,True
2017-09-17,2017-09-23,995.5901098901098,992.3807692307693,998.2192307692308,28,True
2017-09-24,2017-09-30,994.4869505494506,991.8846153846154,997.1884615384615,28,True
2017-10-01,2017-10-07,993.793543956044,989.1,998.2846153846153,28,True
2017-10-08,2017-10-14,993.135989010989,990.4076923076923,997.0038461538461,28,True
2017-10-15,2017-10-21,994.5906593406593,990.5307692307692,998.0692307692308,28,True
2017-10-22,2017-10-28,993.5932692307694,991.4730769230769,995.4807692307692,28,True
2017-10-29,2017-11-04,992.254532967033,989.7807692307692,994.2730769230769,28,True
2017-11-05,2017-11-11,991.5065934065934,989.2230769230769,994.3307692307692,28,True
2017-11-12,2017-11-18,991.3195054945055,988.6846153846153,993.3846153846154,28,True
2017-11-19,2017-11-25,991.8894230769231,988.8384615384616,995.0269230769231,28,True
2017-11-26,2017-12-02,992.2538461538461,987.7346153846153,994.9730769230769,28,True
2017-12-03,2017-12-09,992.514010989011,989.7769230769231,994.8423076923077,28,True
2017-12-10,2017-12-16,992.5021978021978,988.5884615384616,995.4076923076923,28,True
2017-12-17,2017-12-23,993.5604395604396,991.1730769230769,995.3576923076923,28,True
2017-12-24,2017-12-30,992.7129120879121,991.0307692307692,994.5576923076924,28,True
2017-12-31,2018-01-06,993.8616758241759,991.6769230769231,996.5192307692308,28,True
2018-01-07,2018-01-13,994.2395604395605,992.4346153846153,996.5,28,True
2018-01-14,2018-01-20,994.5068681318681,990.8192307692308,996.7692307692308,28,True
2018-01-21,2018-01-27,993.7513736263736,990.6653846153847,996.0230769230769,28,True
2018-01-28,2018-02-03,990.9956043956043,988.1538461538461,993.1269230769232,28,True
2018-02-04,2018-02-10,991.5962912087913,989.1269230769232,993.7692307692308,28,True
